Sample,SampleName,AT1G22630,AT1G22620,AT1G22610,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqueMappedRatio,ReleaseDate
SRX1687129,RNA-Seq of Arabidopsis thaliana: TP3 rep2,10.38,37.15,0,shoot apex,Col-0,--,--,PRJNA311774,52518522,0.8261,4/13/2016
SRX1687130,RNA-Seq of Arabidopsis thaliana: TP3 rep3,8.85,37.63,0,shoot apex,Col-0,--,--,PRJNA311774,32082307,0.8221,4/13/2016
SRX1687131,RNA-Seq of Arabidopsis thaliana: TP4 rep1,15.45,38.86,0,shoot apex,Col-0,--,--,PRJNA311774,27471226,0.835,4/13/2016
SRX1688672,Wild-type1,49.26,33.52,0,aerial seedling,Col-0,wild type,Mock,PRJNA317804,42108453,0.9276,1/31/2018
SRX1688673,Wild-type 2,44.36,35.04,0,aerial seedling,Col-0,wild type,Mock,PRJNA317804,65990167,0.915,1/31/2018
SRX1688674,Heat 1,47.68,29.91,0,aerial seedling,Col-0,--,heat,PRJNA317804,39859346,0.9297,1/31/2018
SRX1688675,Heat 2,40.29,30.19,0,aerial seedling,Col-0,--,heat,PRJNA317804,49594021,0.9016,1/31/2018
SRX1688676,Salicylic Acid 1,26.59,22.57,0,aerial seedling,Col-0,--,SA,PRJNA317804,15498652,0.439,1/31/2018
SRX1688677,Salicylic Acid 2,41.51,34.33,0,aerial seedling,Col-0,--,SA,PRJNA317804,64010916,0.9157,1/31/2018
SRX1700806,"Drought main treatment, B.cinerea pre-treatment; 5 d after water withold; Biological replicate 1",71.54,22.59,0,leaves,Col-0,--,"5d drought, B.cinerea pre-treatment",PRJNA315516,12277074,0.9243,4/17/2016
SRX1700807,"Drought main treatment, B.cinerea pre-treatment; 5 d after water withold; Biological replicate 2",65.25,23.15,0,leaves,Col-0,--,"5d drought, B.cinerea pre-treatment",PRJNA315516,12902528,0.9001,4/17/2016
SRX1700808,Mock for B.cinerea pre-treatment; 5 d; Biological replicate 2.,77.66,23.13,0,leaves,Col-0,--,Mock,PRJNA315516,9455089,0.9045,4/17/2016
SRX1700809,Mock for B.cinerea pre-treatment; 5 d; Biological replicate 3.,69.1,26.04,0,leaves,Col-0,--,Mock,PRJNA315516,14222597,0.8975,4/18/2016
SRX1700810,"Drought main treatment, P.rapae pre-treatment; 5 d after water withold; Biological replicate 1.",78.35,23.38,0,leaves,Col-0,--,"5d drought,  P.rapae pre-treatment",PRJNA315516,10794389,0.9199,4/17/2016
SRX1700811,"Drought main treatment, P.rapae pre-treatment; 5 d after water withold; Biological replicate 2.",70.91,23.14,0,leaves,Col-0,--,"5d drought,  P.rapae pre-treatment",PRJNA315516,17528442,0.9208,4/18/2016
SRX1700812,"Drought main treatment, P.rapae pre-treatment; 5 d after water withold; Biological replicate 3.",65.59,25.7,0,leaves,Col-0,--,"5d drought,  P.rapae pre-treatment",PRJNA315516,16464402,0.9046,4/18/2016
SRX1700813,"Drought main treatment, B.cinerea pre-treatment; 6 d after water withold; Biological replicate 1.",59.42,22.65,0,leaves,Col-0,--,"6d drought, B.cinerea pre-treatment",PRJNA315516,9655570,0.9217,4/17/2016
SRX1700814,"Drought main treatment, B.cinerea pre-treatment; 6 d after water withold; Biological replicate 2.",60.67,23.14,0,leaves,Col-0,--,"6d drought, B.cinerea pre-treatment",PRJNA315516,11715203,0.9251,4/17/2016
SRX1700815,"Drought main treatment, B.cinerea pre-treatment; 6 d after water withold; Biological replicate 3.",60.07,25.76,0,leaves,Col-0,--,"6d drought, B.cinerea pre-treatment",PRJNA315516,15271644,0.9282,4/17/2016
SRX1700816,Control; 6 d; Biological replicate 1.,82.95,26.44,0,leaves,Col-0,--,Mock,PRJNA315516,11839560,0.9178,4/17/2016
SRX1700817,Control; 6 d; Biological replicate 2.,75.49,25.17,0,leaves,Col-0,--,Mock,PRJNA315516,13035949,0.8891,4/17/2016
SRX1700818,"Drought main treatment, B.cinerea pre-treatment; 5 d after water withold; Biological replicate 3.",66.15,21.76,0,leaves,Col-0,--,"5d drought, B.cinerea pre-treatment",PRJNA315516,18004699,0.9187,4/18/2016
SRX1700819,Control; 6 d; Biological replicate 3.,66.91,27.62,0,leaves,Col-0,--,Mock,PRJNA315516,21103309,0.9233,4/17/2016
SRX1700820,Drought main treatment; 6 d after water withold; Biological replicate 1,58.98,23.69,0,leaves,Col-0,--,drought 6day,PRJNA315516,12742331,0.924,4/17/2016
SRX1700821,Drought main treatment; 6 d after water withold; Biological replicate 2,52.73,23.76,0,leaves,Col-0,--,drought 6day,PRJNA315516,12440088,0.9152,4/17/2016
SRX1700822,Drought main treatment; 6 d after water withold; Biological replicate 3,57.76,23.71,0,leaves,Col-0,--,drought 6day,PRJNA315516,13718441,0.9115,4/17/2016
SRX1700823,Mock for B.cinerea pre-treatment; 6 d; Biological replicate 1.,86.65,23.13,0,leaves,Col-0,--,Mock,PRJNA315516,9233583,0.875,4/17/2016
SRX1700824,Mock for B.cinerea pre-treatment; 6 d; Biological replicate 2.,74.35,27.59,0,leaves,Col-0,--,Mock,PRJNA315516,13135461,0.9162,4/17/2016
SRX1700825,Mock for B.cinerea pre-treatment; 6 d; Biological replicate 3.,76.94,26.96,0,leaves,Col-0,--,Mock,PRJNA315516,14288917,0.9197,4/17/2016
SRX1700826,"Drought main treatment, P.rapae pre-treatment; 6 d after water withold; Biological replicate 1",60.84,23.96,0,leaves,Col-0,--,"6d drought,  P.rapae pre-treatment",PRJNA315516,13906383,0.9206,4/17/2016
SRX1700827,"Drought main treatment, P.rapae pre-treatment; 6 d after water withold; Biological replicate 2",58.01,25.13,0,leaves,Col-0,--,"6d drought,  P.rapae pre-treatment",PRJNA315516,10299623,0.9257,4/17/2016
SRX1700828,"Drought main treatment, P.rapae pre-treatment; 6 d after water withold; Biological replicate 3",56.42,25.46,0,leaves,Col-0,--,"6d drought,  P.rapae pre-treatment",PRJNA315516,18263521,0.9293,4/17/2016
SRX1700829,Control; 5 d; Biological replicate 1.,62.57,26.88,0,leaves,Col-0,--,Mock,PRJNA315516,18492997,0.9195,4/18/2016
SRX1700830,"Drought main treatment, B.cinerea pre-treatment; 7 d after water withold; Biological replicate 1",51.28,23.67,0,leaves,Col-0,--,"7d drought, B.cinerea pre-treatment",PRJNA315516,10616837,0.9304,4/17/2016
SRX1700831,"Drought main treatment, B.cinerea pre-treatment; 7 d after water withold; Biological replicate 2",46.17,24.67,0,leaves,Col-0,--,"7d drought, B.cinerea pre-treatment",PRJNA315516,26796081,0.9146,4/17/2016
SRX1700832,"Drought main treatment, B.cinerea pre-treatment; 7 d after water withold; Biological replicate 3",47.18,23.26,0,leaves,Col-0,--,"7d drought, B.cinerea pre-treatment",PRJNA315516,10958312,0.9048,4/17/2016
SRX1700833,Control; 7 d; Biological replicate 1.,62.3,28.16,0,leaves,Col-0,--,Mock,PRJNA315516,16472046,0.9192,4/17/2016
SRX1700834,Control; 7 d; Biological replicate 2.,83.65,22.53,0,leaves,Col-0,--,Mock,PRJNA315516,9265011,0.9224,4/17/2016
SRX1700835,Control; 7 d; Biological replicate 3.,66.97,27.8,0,leaves,Col-0,--,Mock,PRJNA315516,15586001,0.9114,4/17/2016
SRX1700836,Drought main treatment; 7 d after water withold; Biological replicate 1,44.29,22.2,0,leaves,Col-0,--,drought 7day,PRJNA315516,11699888,0.9268,4/17/2016
SRX1700838,Drought main treatment; 7 d after water withold; Biological replicate 2,53.68,24.47,0,leaves,Col-0,--,drought 7day,PRJNA315516,19138230,0.9129,4/17/2016
SRX1700839,Drought main treatment; 7 d after water withold; Biological replicate 3,49.75,20.85,0,leaves,Col-0,--,drought 7day,PRJNA315516,11821480,0.9103,4/17/2016
SRX1700840,Mock for B.cinerea pre-treatment; 7 d; Biological replicate 1.,75.23,27.52,0,leaves,Col-0,--,Mock,PRJNA315516,9329618,0.9143,4/17/2016
SRX1700841,Control; 5 d; Biological replicate 2.,66.29,28.11,0,leaves,Col-0,--,Mock,PRJNA315516,15243133,0.9143,4/17/2016
SRX1700842,Mock for B.cinerea pre-treatment; 7 d; Biological replicate 2.,77.2,24.38,0,leaves,Col-0,--,Mock,PRJNA315516,11245451,0.917,4/17/2016
SRX1700843,Mock for B.cinerea pre-treatment; 7 d; Biological replicate 3.,68.43,26.69,0,leaves,Col-0,--,Mock,PRJNA315516,11995763,0.9125,4/17/2016
SRX1700844,"Drought main treatment, P.rapae pre-treatment; 7 d after water withold; Biological replicate 1",43.09,22.39,0,leaves,Col-0,--,"7d drought,  P.rapae pre-treatment",PRJNA315516,18036354,0.886,4/17/2016
SRX1700845,"Drought main treatment, P.rapae pre-treatment; 7 d after water withold; Biological replicate 2",54.04,18.95,0,leaves,Col-0,--,"7d drought,  P.rapae pre-treatment",PRJNA315516,9093310,0.9067,4/18/2016
SRX1700846,"Drought main treatment, B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 1",81.64,27.46,0,leaves,Col-0,--,"Drought main treatment, B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery.",PRJNA315516,10388659,0.9165,4/17/2016
SRX1700847,"Drought main treatment, B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 2",76.61,26.41,0,leaves,Col-0,--,"Drought main treatment, B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery.",PRJNA315516,10575965,0.9103,4/17/2016
SRX1700848,"Drought main treatment, B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 3",77.18,27.69,0,leaves,Col-0,--,"Drought main treatment, B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery.",PRJNA315516,16712141,0.9255,4/17/2016
SRX1700849,"P.rapae main treatment, B.cinerea pre-treatment; 3 h after infestation; Biological replicate 1.",55.45,24.97,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 3 h after infestation.",PRJNA315516,13045248,0.9229,4/17/2016
SRX1700850,"P.rapae main treatment, B.cinerea pre-treatment; 3 h after infestation; Biological replicate 2.",54.39,26.26,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 3 h after infestation.",PRJNA315516,16648287,0.9142,4/17/2016
SRX1700851,"P.rapae main treatment, B.cinerea pre-treatment; 3 h after infestation; Biological replicate 3.",51.82,27.34,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 3 h after infestation.",PRJNA315516,18468037,0.8947,4/17/2016
SRX1700852,Control; 5 d; Biological replicate 3.,53.03,29.87,0,leaves,Col-0,--,Mock,PRJNA315516,23731668,0.9215,4/17/2016
SRX1700853,"Control for Pieris main-treatment, 3h and for 7 days after water withhold + 1 d water recovery; Biological replicate 1",65.28,26.82,0,leaves,Col-0,--,"Control for Pieris main-treatment, 3h and for 7 days after water withhold + 1 d water recovery.",PRJNA315516,12432053,0.9095,4/17/2016
SRX1700854,"Control for Pieris main-treatment, 3h and for 7 days after water withhold + 1 d water recovery; Biological replicate 2",75.37,29.59,0,leaves,Col-0,--,"Control for Pieris main-treatment, 3h and for 7 days after water withhold + 1 d water recovery.",PRJNA315516,14118478,0.9064,4/17/2016
SRX1700855,"Control for Pieris main-treatment, 3h and for 7 days after water withhold + 1 d water recovery; Biological replicate 3",64.88,29.41,0,leaves,Col-0,--,"Control for Pieris main-treatment, 3h and for 7 days after water withhold + 1 d water recovery.",PRJNA315516,15465777,0.922,4/17/2016
SRX1700856,Drought main treatment; 7 days after water withold + 1 d water recovery; Biological replicate 1,73.94,29.63,0,leaves,Col-0,--,water recovery 1day (after 7day drought),PRJNA315516,12723439,0.9165,4/18/2016
SRX1700857,Drought main treatment; 7 days after water withold + 1 d water recovery; Biological replicate 2,76.15,29.12,0,leaves,Col-0,--,water recovery 1day (after 7day drought),PRJNA315516,14452319,0.9122,4/17/2016
SRX1700858,Drought main treatment; 7 days after water withold + 1 d water recovery; Biological replicate 3,69.44,28.09,0,leaves,Col-0,--,water recovery 1day (after 7day drought),PRJNA315516,15434310,0.9169,4/17/2016
SRX1700859,"P.rapae main treatment, drought pre-treatment; 3 h after infestation; Biological replicate 1.",80.3,24.83,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 3 h after infestation.",PRJNA315516,13876270,0.9177,4/17/2016
SRX1700860,"P.rapae main treatment, drought pre-treatment; 3 h after infestation; Biological replicate 2.",54.72,24.05,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 3 h after infestation.",PRJNA315516,11484468,0.9171,4/17/2016
SRX1700861,"P.rapae main treatment, drought pre-treatment; 3 h after infestation; Biological replicate 3.",57.82,29.1,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 3 h after infestation.",PRJNA315516,18563615,0.8728,4/17/2016
SRX1700862,"Mock for B.cinerea pre-treatment, Pieris main treatment, 3 h after infestation; Biological replicate 1.",57.45,25.04,0,leaves,Col-0,--,"Mock for B.cinerea pre-treatment, Pieris main treatment, 3 h after infestation.",PRJNA315516,17774187,0.9207,4/17/2016
SRX1700863,Drought main treatment; 5 d after water withold; Biological replicate 1,79.68,18.12,0,leaves,Col-0,--,drought 5day,PRJNA315516,9984407,0.9197,4/17/2016
SRX1700864,Mock for B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 1,79.95,27.99,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery.,PRJNA315516,9696859,0.919,4/17/2016
SRX1700865,"Mock for B.cinerea pre-treatment, Pieris main treatment, 3 h after infestation; Biological replicate 2",63.71,23.16,0,leaves,Col-0,--,"Mock for B.cinerea pre-treatment, Pieris main treatment, 3 h after infestation.",PRJNA315516,12820896,0.9193,4/17/2016
SRX1700866,Mock for B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 2,59.37,29.98,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery.,PRJNA315516,11439481,0.8975,4/18/2016
SRX1700867,"Mock for B.cinerea pre-treatment, Pieris main treatment, 3 h after infestation; Biological replicate 3",61.42,26.51,0,leaves,Col-0,--,"Mock for B.cinerea pre-treatment, Pieris main treatment, 3 h after infestation.",PRJNA315516,21933196,0.8997,4/17/2016
SRX1700868,Mock for B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 3,76.88,27.71,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 7 days after water withold + 1 d water recovery.,PRJNA315516,12494710,0.9167,4/17/2016
SRX1700869,P.rapae main treatment; 3 h after infestation; Biological replicate 1.,50.8,25.95,0,leaves,Col-0,--,P.rapae main treatment; 3 h after infestation.,PRJNA315516,13609253,0.914,4/17/2016
SRX1700870,P.rapae main treatment; 3 h after infestation; Biological replicate 2.,51.43,25.78,0,leaves,Col-0,--,P.rapae main treatment; 3 h after infestation.,PRJNA315516,16857604,0.9122,4/17/2016
SRX1700871,P.rapae main treatment; 3 h after infestation; Biological replicate 3.,57.73,26.17,0,leaves,Col-0,--,P.rapae main treatment; 3 h after infestation.,PRJNA315516,17550934,0.918,4/17/2016
SRX1700872,"Drought main treatment, P.rapae pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 1",63.14,27.17,0,leaves,Col-0,--,"Drought main treatment, P.rapae pre-treatment; 7 days after water withold + 1 d water recovery.",PRJNA315516,14461969,0.9173,4/17/2016
SRX1700873,"Drought main treatment, P.rapae pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 2",69.3,29.16,0,leaves,Col-0,--,"Drought main treatment, P.rapae pre-treatment; 7 days after water withold + 1 d water recovery.",PRJNA315516,12214624,0.9126,4/17/2016
SRX1700874,Drought main treatment; 5 d after water withold; Biological replicate 2,66.16,22.74,0,leaves,Col-0,--,drought 5day,PRJNA315516,12079373,0.9161,4/17/2016
SRX1700875,"Drought main treatment, P.rapae pre-treatment; 7 days after water withold + 1 d water recovery; Biological replicate 3",81.75,28.14,0,leaves,Col-0,--,"Drought main treatment, P.rapae pre-treatment; 7 days after water withold + 1 d water recovery.",PRJNA315516,11648640,0.8384,4/17/2016
SRX1700876,Drought main treatment; 5 d after water withold; Biological replicate 3,60.74,25.85,0,leaves,Col-0,--,drought 5day,PRJNA315516,13309081,0.911,4/18/2016
SRX1700877,Mock for B.cinerea pre-treatment; 5 d; Biological replicate 1.,93.96,25.52,0,leaves,Col-0,--,Mock,PRJNA315516,9870820,0.9189,4/17/2016
SRX1704978,B.cinerea main treatment; 6 h after innoculation; Biological replicate 1.,60.75,28.79,0,leaves,Col-0,--,water recovery 1day (after 7day drought),PRJNA315516,11773335,0.6192,4/21/2016
SRX1704979,B.cinerea main treatment; 6 h after innoculation; Biological replicate 2.,61.89,33.37,0,leaves,Col-0,--,water recovery 1day (after 7day drought),PRJNA315516,11757374,0.9032,4/21/2016
SRX1704980,"P.rapae main treatment, drought pre-treatment; 6 h after infestation; Biological replicate 2.",52.61,28.92,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 6 h after infestation.",PRJNA315516,19441456,0.9237,4/21/2016
SRX1704981,"P.rapae main treatment, drought pre-treatment; 6 h after infestation; Biological replicate 3.",49.06,28.99,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 6 h after infestation.",PRJNA315516,16131635,0.9231,4/21/2016
SRX1704982,"B.cinerea main treatment, drought pre-treatment; 6 h after innoculation; Biological replicate 1",69.89,29.03,0,leaves,Col-0,--,"B.cinerea main treatment, drought pre-treatment; 6 h after innoculation.",PRJNA315516,9755159,0.9125,4/21/2016
SRX1704983,"B.cinerea main treatment, drought pre-treatment; 6 h after innoculation; Biological replicate 2",70.83,27.43,0,leaves,Col-0,--,"B.cinerea main treatment, drought pre-treatment; 6 h after innoculation.",PRJNA315516,12179524,0.891,4/21/2016
SRX1704984,"B.cinerea main treatment, drought pre-treatment; 6 h after innoculation; Biological replicate 3",65.22,30.64,0,leaves,Col-0,--,"B.cinerea main treatment, drought pre-treatment; 6 h after innoculation.",PRJNA315516,12594534,0.9072,4/21/2016
SRX1704985,Mock for B.cinerea pre-treatment; 6 h; Biological replicate 1.,67.68,28.76,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 6 h.,PRJNA315516,14554991,0.9194,4/21/2016
SRX1704986,Mock for B.cinerea pre-treatment; 6 h; Biological replicate 2.,72.81,27.75,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 6 h.,PRJNA315516,11841586,0.9257,4/21/2016
SRX1704987,Mock for B.cinerea pre-treatment; 6 h; Biological replicate 3.,78.89,26.74,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 6 h.,PRJNA315516,8515719,0.9202,4/21/2016
SRX1704988,Mock for B.cinerea main treatment; 6 h; Biological replicate 1.,54.18,31.39,0,leaves,Col-0,--,Mock,PRJNA315516,13027175,0.9203,4/21/2016
SRX1704989,Mock for B.cinerea main treatment; 6 h; Biological replicate 2.,57.26,33.75,0,leaves,Col-0,--,Mock,PRJNA315516,13013887,0.9105,4/21/2016
SRX1704990,B.cinerea main treatment; 6 h after innoculation; Biological replicate 3,64.55,31.32,0,leaves,Col-0,--,water recovery 1day (after 7day drought),PRJNA315516,13704716,0.9172,4/21/2016
SRX1704991,Mock for B.cinerea main treatment; 6 h; Biological replicate 3.,57.49,32.57,0,leaves,Col-0,--,Mock,PRJNA315516,20036263,0.923,4/21/2016
SRX1704992,P.rapae main treatment; 6 h after infestation; Biological replicate 1.,48.97,28.5,0,leaves,Col-0,--,P.rapae main treatment; 6 h after infestation.,PRJNA315516,12738906,0.9165,4/21/2016
SRX1704994,P.rapae main treatment; 6 h after infestation; Biological replicate 2.,28.96,28.31,0,leaves,Col-0,--,P.rapae main treatment; 6 h after infestation.,PRJNA315516,12685468,0.9149,4/21/2016
SRX1704995,P.rapae main treatment; 6 h after infestation; Biological replicate 3.,49.26,31.18,0,leaves,Col-0,--,P.rapae main treatment; 6 h after infestation.,PRJNA315516,20566470,0.9069,4/21/2016
SRX1704996,"B.cinerea main treatment, P.rapae pre-treatment; 6 h after innoculation; Biological replicate 1.",53.76,32.15,0,leaves,Col-0,--,"B.cinerea main treatment, P.rapae pre-treatment; 6 h after innoculation.",PRJNA315516,14959059,0.9161,4/21/2016
SRX1704997,"B.cinerea main treatment, P.rapae pre-treatment; 6 h after innoculation; Biological replicate 2.",48.8,31.56,0,leaves,Col-0,--,"B.cinerea main treatment, P.rapae pre-treatment; 6 h after innoculation.",PRJNA315516,13640607,0.9101,4/21/2016
SRX1704998,"B.cinerea main treatment, P.rapae pre-treatment; 6 h after innoculation; Biological replicate 3.",55.32,31.76,0,leaves,Col-0,--,"B.cinerea main treatment, P.rapae pre-treatment; 6 h after innoculation.",PRJNA315516,15219000,0.9093,4/21/2016
SRX1704999,B.cinerea main treatment; 12 h after innoculation; Biological replicate 1.,72.11,31.8,0,leaves,Col-0,--,B.cinerea main 12h,PRJNA315516,10729842,0.8692,4/21/2016
SRX1705006,B.cinerea main treatment; 12 h after innoculation; Biological replicate 2.,65.5,33.75,0,leaves,Col-0,--,B.cinerea main 12h,PRJNA315516,12883732,0.8976,4/21/2016
SRX1705011,B.cinerea main treatment; 12 h after innoculation; Biological replicate 3.,57.59,37.93,0,leaves,Col-0,--,B.cinerea main 12h,PRJNA315516,19456959,0.9066,4/21/2016
SRX1705019,"P.rapae main treatment, B.cinerea pre-treatment; 6 h after infestation; Biological replicate 1.",53.37,25.94,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 6 h after infestation.",PRJNA315516,11430688,0.9189,4/21/2016
SRX1705024,"P.rapae main treatment, B.cinerea pre-treatment; 12 h after infestation; Biological replicate 1",60.73,32.13,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 12 h after infestation.",PRJNA315516,16188062,0.9223,4/21/2016
SRX1705029,"P.rapae main treatment, B.cinerea pre-treatment; 12 h after infestation; Biological replicate 2",46.26,30.5,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 12 h after infestation.",PRJNA315516,27946326,0.9289,4/21/2016
SRX1705030,"P.rapae main treatment, B.cinerea pre-treatment; 12 h after infestation; Biological replicate 3",58.54,29.49,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 12 h after infestation.",PRJNA315516,14407752,0.9166,4/21/2016
SRX1705031,Control; 12 h; Biological replicate 1.,59.15,34.8,0,leaves,Col-0,--,Control; 12 h.,PRJNA315516,11552256,0.9226,4/21/2016
SRX1705032,Control; 12 h; Biological replicate 2.,67.88,33.68,0,leaves,Col-0,--,Control; 12 h.,PRJNA315516,10943974,0.9223,4/21/2016
SRX1705033,Control; 12 h; Biological replicate 3.,57.57,35.49,0,leaves,Col-0,--,Control; 12 h.,PRJNA315516,22575433,0.9285,4/21/2016
SRX1705034,"P.rapae main treatment, drought pre-treatment; 12 h after infestation; Biological replicate 1",50.5,34.29,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 12 h after infestation.",PRJNA315516,28473341,0.9221,4/21/2016
SRX1705039,"P.rapae main treatment, drought pre-treatment; 12 h after infestation; Biological replicate 2",45.28,34.94,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 12 h after infestation.",PRJNA315516,25530271,0.923,4/21/2016
SRX1705044,"P.rapae main treatment, drought pre-treatment; 12 h after infestation; Biological replicate 3",61.72,28.47,0,leaves,Col-0,--,"P.rapae main treatment, drought pre-treatment; 12 h after infestation.",PRJNA315516,15176566,0.9069,4/21/2016
SRX1705045,"B.cinerea main treatment, drought pre-treatment; 12 h after innoculation; Biological replicate 1",81.58,33.51,0,leaves,Col-0,--,"B.cinerea main treatment, drought pre-treatment; 12 h after innoculation.",PRJNA315516,10918947,0.876,4/21/2016
SRX1705046,"P.rapae main treatment, B.cinerea pre-treatment; 6 h after infestation; Biological replicate 2",38.22,25.73,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 6 h after infestation.",PRJNA315516,15118040,0.9169,4/21/2016
SRX1705047,"B.cinerea main treatment, drought pre-treatment; 12 h after innoculation; Biological replicate 2",79.41,33.4,0,leaves,Col-0,--,"B.cinerea main treatment, drought pre-treatment; 12 h after innoculation.",PRJNA315516,9228620,0.8886,4/21/2016
SRX1705048,"B.cinerea main treatment, drought pre-treatment; 12 h after innoculation; Biological replicate 3",75.95,33.16,0,leaves,Col-0,--,"B.cinerea main treatment, drought pre-treatment; 12 h after innoculation.",PRJNA315516,11816654,0.8778,4/21/2016
SRX1705049,Mock for B.cinerea pre-treatment; 12 h; Biological replicate 1.,79.73,29.97,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 12 h.,PRJNA315516,12135587,0.9325,4/21/2016
SRX1705050,Mock for B.cinerea pre-treatment; 12 h; Biological replicate 2.,75.1,33.01,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 12 h.,PRJNA315516,14996178,0.9211,4/21/2016
SRX1705057,Mock for B.cinerea pre-treatment; 12 h; Biological replicate 3.,66.62,34.17,0,leaves,Col-0,--,Mock for B.cinerea pre-treatment; 12 h.,PRJNA315516,18104345,0.9256,4/21/2016
SRX1705062,Mock for B.cinerea main treatment; 12 h; Biological replicate 1.,76.19,34.43,0,leaves,Col-0,--,Mock,PRJNA315516,11866205,0.9198,4/21/2016
SRX1705063,Mock for B.cinerea main treatment; 12 h; Biological replicate 2.,60.32,35.56,0,leaves,Col-0,--,Mock,PRJNA315516,19260175,0.9243,4/21/2016
SRX1705064,Mock for B.cinerea main treatment; 12 h; Biological replicate 3.,67.6,37.23,0,leaves,Col-0,--,Mock,PRJNA315516,16067764,0.9261,4/21/2016
SRX1705065,P.rapae main treatment; 12 h after infestation; Biological replicate 1,53.61,32.28,0,leaves,Col-0,--,P.rapae main treatment; 12 h after infestation.,PRJNA315516,13031098,0.9268,4/21/2016
SRX1705066,P.rapae main treatment; 12 h after infestation; Biological replicate 2,49.73,31.79,0,leaves,Col-0,--,P.rapae main treatment; 12 h after infestation.,PRJNA315516,27103993,0.9277,4/21/2016
SRX1705067,"P.rapae main treatment, B.cinerea pre-treatment; 6 h after infestation; Biological replicate 3",49.73,27.57,0,leaves,Col-0,--,"P.rapae main treatment, B.cinerea pre-treatment; 6 h after infestation.",PRJNA315516,10927865,0.9223,4/21/2016
SRX1705068,P.rapae main treatment; 12 h after infestation; Biological replicate 3,64,28.78,0,leaves,Col-0,--,P.rapae main treatment; 12 h after infestation.,PRJNA315516,11481769,0.9184,4/21/2016
SRX1705069,"B.cinerea main treatment, P.rapae pre-treatment; 12 h after innoculation; Biological replicate 1",68.38,30.58,0,leaves,Col-0,--,"B.cinerea main treatment, P.rapae pre-treatment; 12 h after innoculation.",PRJNA315516,10807441,0.8528,4/21/2016
SRX1705070,"B.cinerea main treatment, P.rapae pre-treatment; 12 h after innoculation; Biological replicate 2",72.93,32.85,0,leaves,Col-0,--,"B.cinerea main treatment, P.rapae pre-treatment; 12 h after innoculation.",PRJNA315516,11738380,0.9101,4/21/2016
SRX1705071,"B.cinerea main treatment, P.rapae pre-treatment; 12 h after innoculation; Biological replicate 3",63.79,37.68,0,leaves,Col-0,--,"B.cinerea main treatment, P.rapae pre-treatment; 12 h after innoculation.",PRJNA315516,20449572,0.9275,4/21/2016
SRX1705072,B.cinerea main treatment; 18 h after innoculation; Biological replicate 1,79.8,35.39,0,leaves,Col-0,--,B.cinerea main 18h,PRJNA315516,10342352,0.8769,4/21/2016
SRX1705073,B.cinerea main treatment; 18 h after innoculation; Biological replicate 2,62.33,33.6,0,leaves,Col-0,--,B.cinerea main 18h,PRJNA315516,13600781,0.895,4/21/2016
SRX1705074,B.cinerea main treatment; 18 h after innoculation; Biological replicate 3,68.51,35,0,leaves,Col-0,--,B.cinerea main 18h,PRJNA315516,15907915,0.8486,4/21/2016
