Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue_raw,TotalReads,UniqueMappedRate,ReleaseDate,Count,Tissue,VegetativeRepro,AboveBelow
GSM1398472,PRJNA248481,WT 0h,25190717,wild type,Col-0,seedlings,32758258,0.89,9/5/2014,,other,other,other
GSM1398473,PRJNA248481,WT 6h rep1,25190717,wild type,Col-0,seedlings,23405674,0.88,9/5/2014,,other,other,other
GSM1398474,PRJNA248481,WT 6h rep2,25190717,wild type,Col-0,seedlings,25459705,0.89,9/5/2014,,other,other,other
GSM1398475,PRJNA248481,WT 8h rep1,25190717,wild type,Col-0,seedlings,20681996,0.89,9/5/2014,,other,other,other
GSM1398476,PRJNA248481,WT 8h rep2,25190717,wild type,Col-0,seedlings,27330997,0.9,9/5/2014,,other,other,other
GSM1398477,PRJNA248481,iSPCH 0h rep1,25190717,ESTpro,Col-0,seedlings,26028230,0.87,9/5/2014,,other,other,other
GSM1398478,PRJNA248481,iSPCH 0h rep2,25190717,ESTpro,Col-0,seedlings,24596744,0.91,9/5/2014,,other,other,other
GSM1398479,PRJNA248481,iSPCH 6h rep1,25190717,ESTpro,Col-0,seedlings,29175174,0.88,9/5/2014,,other,other,other
GSM1398480,PRJNA248481,iSPCH 6h rep2,25190717,ESTpro,Col-0,seedlings,16002948,0.87,9/5/2014,,other,other,other
GSM1398481,PRJNA248481,iSPCH 8h rep1,25190717,ESTpro,Col-0,seedlings,21194280,0.88,9/5/2014,,other,other,other
GSM1398482,PRJNA248481,iSPCH 8h rep2,25190717,ESTpro,Col-0,seedlings,18675451,0.89,9/5/2014,,other,other,other
GSM1400500,PRJNA248877,Sample_fhy1-1-3_RNA-seq,25071219,fhy1-1,Ler,seedlings,28335641,0.76,8/8/2014,,other,other,other
GSM1401633,PRJNA211593,Arabidopsis Ler wild type 1,24794133,wild type,Ler,seedlings,7977447,0.75,6/6/2014,,other,other,other
GSM1401634,PRJNA211593,Arabidopsis Ler wild type 2,24794133,wild type,Ler,seedlings,8528446,0.76,6/6/2014,,other,other,other
GSM1401635,PRJNA211593,Arabidopsis Ler wild type 3,24794133,wild type,Ler,seedlings,8682004,0.75,6/6/2014,,other,other,other
GSM1401637,PRJNA211593,phyA-1 2 (ler),24794133,phyA-1,Ler,seedlings,5004217,0.82,6/6/2014,,other,other,other
GSM1413819,PRJNA252931,WT-D rep1,/,wild type,Col-0,seedlings,21050000,0.89,6/15/2016,,other,other,other
GSM1413820,PRJNA252931,WT-D rep2,/,wild type,Col-0,seedlings,21865901,0.89,6/15/2016,,other,other,other
GSM1413821,PRJNA252931,WT-BL rep1,/,wild type,Col-0,seedlings,24982296,0.89,6/15/2016,,other,other,other
GSM1413822,PRJNA252931,WT-BL rep2,/,wild type,Col-0,seedlings,22490000,0.89,6/15/2016,,other,other,other
GSM1413823,PRJNA252931,cry1 cry2-BL rep1,/,cry1 cry2 double mutant,Col-0,seedlings,24680000,0.9,6/15/2016,,other,other,other
GSM1413824,PRJNA252931,cry1 cry2-BL rep2,/,cry1 cry2 double mutant,Col-0,seedlings,23570000,0.9,6/15/2016,,other,other,other
GSM1413825,PRJNA252931,tir1 afb123-D rep1,/,tir1 afb1 afb2 afb3 quadruple mutant,Col-0,seedlings,24087478,0.89,6/15/2016,,other,other,other
GSM1413826,PRJNA252931,tir1 afb123-D rep2,/,tir1 afb1 afb2 afb3 quadruple mutant,Col-0,seedlings,23480000,0.88,6/15/2016,,other,other,other
GSM1420956,PRJNA253731,RNASeq - SPCHp::SPCH-YFP (SSY) - replicate 2,25850675,/,/,seedlings,28821340,0.75,4/7/2015,,other,other,other
GSM1420959,PRJNA253731,RNASeq - MUTEp::nucGFP (MG) - replicate 2,25850675,/,/,seedlings,37825970,0.76,4/7/2015,,other,other,other
GSM1420960,PRJNA253731,RNASeq - FAMAp::GFP-FAMA (FGF) - replicate 1,25850675,/,/,seedlings,39345614,0.81,4/7/2015,,other,other,other
GSM1420961,PRJNA253731,RNASeq - FAMAp::GFP-FAMA (FGF) - replicate 2,25850675,/,/,seedlings,42268003,0.8,4/7/2015,,other,other,other
GSM1420962,PRJNA253731,RNASeq - E1728::GFP (E1728G) - replicate 1,25850675,/,/,seedlings,39655885,0.8,4/7/2015,,other,other,other
GSM1429679,PRJNA254520,Col-0 replicate1,25178283,wild type,Col-0,root tip,28783932,0.79,10/3/2014,110,Root,Root,Below
GSM1429680,PRJNA254520,Col-0 replicate2,25178283,wild type,Col-0,root tip,26773698,0.79,10/3/2014,110,Root,Root,Below
GSM1429681,PRJNA254520,Col-0 replicate3,25178283,wild type,Col-0,root tip,26401405,0.78,10/3/2014,110,Root,Root,Below
GSM1429682,PRJNA254520,coryne-3 replicate 1,25178283,coryne-3,Col-0,root tip,29183204,0.79,10/3/2014,110,Root,Root,Below
GSM1429683,PRJNA254520,coryne-3 replicate 2,25178283,coryne-3,Col-0,root tip,29737043,0.78,10/3/2014,110,Root,Root,Below
GSM1429684,PRJNA254520,clavata2-gabi replicate 1,25178283,clavata2-gabi,Col-0,root tip,34716067,0.83,10/3/2014,110,Root,Root,Below
GSM1429685,PRJNA254520,clavata2-gabi replicate 2,25178283,clavata2-gabi,Col-0,root tip,31682186,0.82,10/3/2014,110,Root,Root,Below
GSM1429686,PRJNA254520,clavata2-gabi replicate 3,25178283,clavata2-gabi,Col-0,root tip,32290085,0.82,10/3/2014,110,Root,Root,Below
GSM1429688,PRJNA254520,cle40-2 replicate 1,25178283,cle40-2,Col-0,root tip,41607709,0.8,10/3/2014,110,Root,Root,Below
GSM1429691,PRJNA254520,cle40-2 replicate 2,25178283,cle40-2,Col-0,root tip,35358828,0.82,10/3/2014,110,Root,Root,Below
GSM1429693,PRJNA254520,cle40-2 replicate 3,25178283,cle40-2,Col-0,root tip,26689974,0.78,10/3/2014,110,Root,Root,Below
GSM1441333,PRJNA255799,wt1,25521508,wild type,Col-0,inflorescences and siliques,21130404,0.84,12/17/2014,,other,other,other
GSM1441335,PRJNA255799,stk1,25521508,stk-/-,Col-0,inflorescences and siliques,38599741,0.83,12/17/2014,,other,other,other
GSM1441336,PRJNA255799,stk2,25521508,stk-/-,Col-0,inflorescences and siliques,44910694,0.75,12/17/2014,,other,other,other
GSM1442587,PRJNA255919,dexamethasone + cycloheximide for 2 hours,/,/,/,inflorescence,83388058,0.76,12/2/2018,230,Inflorescence,Reproductive,Above
GSM1442588,PRJNA255919,dexamethasone + cycloheximide for 2 hours,/,/,/,inflorescence,44877655,0.76,12/2/2018,230,Inflorescence,Reproductive,Above
GSM1442589,PRJNA255919,dexamethasone + cycloheximide for 2 hours,/,/,/,inflorescence,52637309,0.75,12/2/2018,230,Inflorescence,Reproductive,Above
GSM1443113,PRJNA255977,col_1h_lbl replicate 1,26724867,wild type,Col-0,seedlings,47753357,0.76,12/31/2015,,other,other,other
GSM1443114,PRJNA255977,col_1h_lbl replicate 2,26724867,wild type,Col-0,seedlings,38026644,0.77,12/31/2015,,other,other,other
GSM1443115,PRJNA255977,col_1h_wl replicate 1,26724867,wild type,Col-0,seedlings,35960759,0.76,12/31/2015,,other,other,other
GSM1443116,PRJNA255977,col_1h_wl replicate 2,26724867,wild type,Col-0,seedlings,40851865,0.76,12/31/2015,,other,other,other
GSM1443119,PRJNA255977,p4p5_1h_wl replicate 1,26724867,pif4-101pif5-1,Col-0,seedlings,41518444,0.76,12/31/2015,,other,other,other
GSM1443120,PRJNA255977,p4p5_1h_wl replicate 2,26724867,pif4-101pif5-1,Col-0,seedlings,41671126,0.77,12/31/2015,,other,other,other
GSM1443121,PRJNA255977,col_6h_lbl replicate 1,26724867,wild type,Col-0,seedlings,28311479,0.83,12/31/2015,,other,other,other
GSM1443122,PRJNA255977,col_6h_lbl replicate 2,26724867,wild type,Col-0,seedlings,28369209,0.81,12/31/2015,,other,other,other
GSM1443123,PRJNA255977,col_6h_wl replicate 1,26724867,wild type,Col-0,seedlings,32387188,0.82,12/31/2015,,other,other,other
GSM1443124,PRJNA255977,col_6h_wl replicate 2,26724867,wild type,Col-0,seedlings,26752561,0.83,12/31/2015,,other,other,other
GSM1443125,PRJNA255977,p4p5_6h_lbl replicate 1,26724867,pif4-101pif5-1,Col-0,seedlings,21924440,0.83,12/31/2015,,other,other,other
GSM1443126,PRJNA255977,p4p5_6h_lbl replicate 2,26724867,pif4-101pif5-1,Col-0,seedlings,28919862,0.83,12/31/2015,,other,other,other
GSM1443127,PRJNA255977,p4p5_6h_wl replicate 1,26724867,pif4-101pif5-1,Col-0,seedlings,25596023,0.79,12/31/2015,,other,other,other
GSM1443128,PRJNA255977,p4p5_6h_wl replicate 2,26724867,pif4-101pif5-1,Col-0,seedlings,33480127,0.83,12/31/2015,,other,other,other
GSM1443129,PRJNA255977,col_24h_lbl replicate 1,26724867,wild type,Col-0,seedlings,26519218,0.82,12/31/2015,,other,other,other
GSM1443130,PRJNA255977,col_24h_lbl replicate 2,26724867,wild type,Col-0,seedlings,25869719,0.81,12/31/2015,,other,other,other
GSM1443131,PRJNA255977,col_24h_wl replicate 1,26724867,wild type,Col-0,seedlings,26863105,0.81,12/31/2015,,other,other,other
GSM1443132,PRJNA255977,col_24h_wl replicate 2,26724867,wild type,Col-0,seedlings,23774298,0.81,12/31/2015,,other,other,other
GSM1443133,PRJNA255977,p4p5_24h_lbl replicate 1,26724867,pif4-101pif5-1,Col-0,seedlings,24578180,0.82,12/31/2015,,other,other,other
GSM1443134,PRJNA255977,p4p5_24h_lbl replicate 2,26724867,pif4-101pif5-1,Col-0,seedlings,24805410,0.82,12/31/2015,,other,other,other
GSM1443135,PRJNA255977,p4p5_24h_wl replicate 1,26724867,pif4-101pif5-1,Col-0,seedlings,24387367,0.82,12/31/2015,,other,other,other
GSM1443136,PRJNA255977,p4p5_24h_wl replicate 2,26724867,pif4-101pif5-1,Col-0,seedlings,30292872,0.81,12/31/2015,,other,other,other
GSM1444314,PRJNA256037,wHyp0h replicate-1,29718177,wild type,Col-0,hypocotyl,22255406,0.89,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444315,PRJNA256037,wHyp0h replicate-2,29718177,wild type,Col-0,hypocotyl,26466194,0.83,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444316,PRJNA256037,wHyp1h replicate-1,29718177,wild type,Col-0,hypocotyl,20665418,0.89,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444317,PRJNA256037,wHyp1h replicate-2,29718177,wild type,Col-0,hypocotyl,24938923,0.81,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444318,PRJNA256037,wHyp2h replicate-1,29718177,wild type,Col-0,hypocotyl,23080864,0.89,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444319,PRJNA256037,wHyp2h replicate-2,29718177,wild type,Col-0,hypocotyl,21691678,0.82,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444320,PRJNA256037,wHyp30m replicate-1,29718177,wild type,Col-0,hypocotyl,22916902,0.89,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444321,PRJNA256037,wHyp30m replicate-2,29718177,wild type,Col-0,hypocotyl,26376737,0.84,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444322,PRJNA256037,wHyp3h replicate-1,29718177,wild type,Col-0,hypocotyl,27178194,0.9,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444323,PRJNA256037,wHyp3h replicate-2,29718177,wild type,Col-0,hypocotyl,26852307,0.85,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444324,PRJNA256037,wHyp4h replicate-1,29718177,wild type,Col-0,hypocotyl,25062127,0.88,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444325,PRJNA256037,wHyp4h replicate-2,29718177,wild type,Col-0,hypocotyl,29413051,0.84,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444326,PRJNA256037,wHyp7h replicate-1,29718177,wild type,Col-0,hypocotyl,26171115,0.9,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444327,PRJNA256037,wHyp7h replicate-2,29718177,wild type,Col-0,hypocotyl,26559046,0.85,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444328,PRJNA256037,wCot0h replicate-1,29718177,wild type,Col-0,cotyledon,24478899,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444329,PRJNA256037,wCot0h replicate-2,29718177,wild type,Col-0,cotyledon,29823556,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444330,PRJNA256037,wCot1h replicate-1,29718177,wild type,Col-0,cotyledon,22168810,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444331,PRJNA256037,wCot1h replicate-2,29718177,wild type,Col-0,cotyledon,27848397,0.84,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444332,PRJNA256037,wCot2h replicate-1,29718177,wild type,Col-0,cotyledon,29528653,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444333,PRJNA256037,wCot2h replicate-2,29718177,wild type,Col-0,cotyledon,25054971,0.89,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444334,PRJNA256037,wCot30m replicate-1,29718177,wild type,Col-0,cotyledon,33897584,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444335,PRJNA256037,wCot30m replicate-2,29718177,wild type,Col-0,cotyledon,32063829,0.88,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444336,PRJNA256037,wCot3h replicate-1,29718177,wild type,Col-0,cotyledon,24122242,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444337,PRJNA256037,wCot3h replicate-2,29718177,wild type,Col-0,cotyledon,30918315,0.84,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444338,PRJNA256037,wCot4h replicate-1,29718177,wild type,Col-0,cotyledon,28916609,0.85,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444339,PRJNA256037,wCot4h replicate-2,29718177,wild type,Col-0,cotyledon,32757059,0.83,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444340,PRJNA256037,wCot7h replicate-1,29718177,wild type,Col-0,cotyledon,25037465,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444341,PRJNA256037,wCot7h replicate-2,29718177,wild type,Col-0,cotyledon,33081246,0.83,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444342,PRJNA256037,sHyp1h replicate-1,29718177,wild type,Col-0,hypocotyl,24954174,0.89,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444343,PRJNA256037,sHyp1h replicate-2,29718177,wild type,Col-0,hypocotyl,21374708,0.81,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444344,PRJNA256037,sHyp2h replicate-1,29718177,wild type,Col-0,hypocotyl,23663748,0.81,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444345,PRJNA256037,sHyp2h replicate-2,29718177,wild type,Col-0,hypocotyl,21606018,0.88,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444346,PRJNA256037,sHyp30m replicate-1,29718177,wild type,Col-0,hypocotyl,20288910,0.86,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444347,PRJNA256037,sHyp30m replicate-2,29718177,wild type,Col-0,hypocotyl,24839954,0.86,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444348,PRJNA256037,sHyp3h replicate-1,29718177,wild type,Col-0,hypocotyl,22869893,0.88,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444349,PRJNA256037,sHyp3h replicate-2,29718177,wild type,Col-0,hypocotyl,23444767,0.88,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444350,PRJNA256037,sHyp4h replicate-1,29718177,wild type,Col-0,hypocotyl,26629830,0.88,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444351,PRJNA256037,sHyp4h replicate-2,29718177,wild type,Col-0,hypocotyl,24320004,0.87,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444352,PRJNA256037,sHyp7h replicate-1,29718177,wild type,Col-0,hypocotyl,23957206,0.86,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444353,PRJNA256037,sHyp7h replicate-2,29718177,wild type,Col-0,hypocotyl,16885610,0.9,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444354,PRJNA256037,sCot1h replicate-1,29718177,wild type,Col-0,cotyledon,25348163,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444355,PRJNA256037,sCot1h replicate-2,29718177,wild type,Col-0,cotyledon,28914504,0.88,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444356,PRJNA256037,sCot2h replicate-1,29718177,wild type,Col-0,cotyledon,27210263,0.85,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444357,PRJNA256037,sCot2h replicate-2,29718177,wild type,Col-0,cotyledon,23607129,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444358,PRJNA256037,sCot30m replicate-1,29718177,wild type,Col-0,cotyledon,26877631,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444359,PRJNA256037,sCot30m replicate-2,29718177,wild type,Col-0,cotyledon,31537715,0.85,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444360,PRJNA256037,sCot3h replicate-1,29718177,wild type,Col-0,cotyledon,26203029,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444361,PRJNA256037,sCot3h replicate-2,29718177,wild type,Col-0,cotyledon,34591822,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444362,PRJNA256037,sCot4h replicate-1,29718177,wild type,Col-0,cotyledon,29320116,0.83,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444363,PRJNA256037,sCot4h replicate-2,29718177,wild type,Col-0,cotyledon,28679777,0.87,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444364,PRJNA256037,sCot7h replicate-1,29718177,wild type,Col-0,cotyledon,30202696,0.85,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444365,PRJNA256037,sCot7h replicate-2,29718177,wild type,Col-0,cotyledon,29179376,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444366,PRJNA256037,pif7_sCot3h replicate-1,29718177,pif7-1,Col-0,cotyledon,32459108,0.84,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444367,PRJNA256037,pif7_sCot3h replicate-2,29718177,pif7-1,Col-0,cotyledon,35712008,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444368,PRJNA256037,pif7_sHyp3h replicate-1,29718177,pif7-1,Col-0,hypocotyl,26192203,0.8,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444369,PRJNA256037,pif7_sHyp3h replicate-2,29718177,pif7-1,Col-0,hypocotyl,21548529,0.82,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444370,PRJNA256037,pif7_wCot3h replicate-1,29718177,pif7-1,Col-0,cotyledon,36970913,0.81,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444371,PRJNA256037,pif7_wCot3h replicate-2,29718177,pif7-1,Col-0,cotyledon,30091952,0.79,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444372,PRJNA256037,pif7_wHyp3h replicate-1,29718177,pif7-1,Col-0,hypocotyl,20552804,0.8,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444373,PRJNA256037,pif7_wHyp3h replicate-2,29718177,pif7-1,Col-0,hypocotyl,22183542,0.81,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444374,PRJNA256037,sav3_sCot3h replicate-1,29718177,sav3-2,Col-0,cotyledon,30396640,0.81,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444375,PRJNA256037,sav3_sCot3h replicate-2,29718177,sav3-2,Col-0,cotyledon,30661385,0.82,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444376,PRJNA256037,sav3_sCot3h replicate-3,29718177,sav3-2,Col-0,cotyledon,32490970,0.82,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444377,PRJNA256037,sav3_sHyp3h replicate-1,29718177,sav3-2,Col-0,hypocotyl,19596402,0.83,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444378,PRJNA256037,sav3_sHyp3h replicate-2,29718177,sav3-2,Col-0,hypocotyl,22864929,0.83,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444379,PRJNA256037,sav3_sHyp3h replicate-3,29718177,sav3-2,Col-0,hypocotyl,20861896,0.84,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444380,PRJNA256037,sav3_wCot3h replicate-1,29718177,sav3-2,Col-0,cotyledon,30318169,0.8,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444381,PRJNA256037,sav3_wCot3h replicate-2,29718177,sav3-2,Col-0,cotyledon,27340904,0.83,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444382,PRJNA256037,sav3_wCot3h replicate-3,29718177,sav3-2,Col-0,cotyledon,29337397,0.86,7/16/2017,322,Cotyledon,Vegetative,Above
GSM1444383,PRJNA256037,sav3_wHyp3h replicate-1,29718177,sav3-2,Col-0,hypocotyl,23296169,0.84,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444384,PRJNA256037,sav3_wHyp3h replicate-2,29718177,sav3-2,Col-0,hypocotyl,22535956,0.82,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1444385,PRJNA256037,sav3_wHyp3h replicate-3,29718177,sav3-2,Col-0,hypocotyl,20782163,0.83,7/16/2017,233,Hypotocyl,Hypotocyl,Below
GSM1446188,PRJNA256168,CNT1 rep1,"25721730, 27014310",35S,Col-0,seedlings,31104400,0.88,7/25/2016,,other,other,other
GSM1446189,PRJNA256168,CNT1 rep2,"25721730, 27014310",35S,Col-0,seedlings,30750577,0.88,7/25/2016,,other,other,other
GSM1446190,PRJNA256168,CNT1-G283E rep1,"25721730, 27014310",35S,Col-0,seedlings,29520986,0.89,7/25/2016,,other,other,other
GSM1446191,PRJNA256168,CNT1-G283E rep2,"25721730, 27014310",35S,Col-0,seedlings,26647643,0.89,7/25/2016,,other,other,other
GSM1477527,PRJNA258161,"WT Col rep 1,1",25288739,Wild type,Col-0,whole plant,5134825,0.87,11/4/2014,,other,other,other
GSM1477528,PRJNA258161,"WT Col rep 1,2",25288739,wild type,Col-0,whole plant,5134825,0.87,11/4/2014,,other,other,other
GSM1477529,PRJNA258161,"WT Col rep 2, 1",25288739,wild type,Col-0,whole plant,26950636,0.89,11/4/2014,,other,other,other
GSM1477530,PRJNA258161,"WT Col rep 2,2",25288739,wild type,Col-0,whole plant,26950636,0.89,11/4/2014,,other,other,other
GSM1477531,PRJNA258161,"WT Col rep 3,1",25288739,wild type,Col-0,whole plant,13605597,0.9,11/4/2014,,other,other,other
GSM1477532,PRJNA258161,"WT Col rep 3,2",25288739,wild type,Col-0,whole plant,13605597,0.9,11/4/2014,,other,other,other
GSM1477533,PRJNA258161,"lsm4 rep 1,1",25288739,lsm4 mutant,Col-0,whole plant,19060681,0.86,11/4/2014,,other,other,other
GSM1477534,PRJNA258161,"lsm4 rep 1,2",25288739,lsm4 mutant,Col-0,whole plant,19060681,0.86,11/4/2014,,other,other,other
GSM1477535,PRJNA258161,"lsm4 rep 2,1",25288739,lsm4 mutant,Col-0,whole plant,16529056,0.9,11/4/2014,,other,other,other
GSM1477536,PRJNA258161,"lsm4 rep 2,2",25288739,lsm4 mutant,Col-0,whole plant,16529056,0.9,11/4/2014,,other,other,other
GSM1477537,PRJNA258161,"lsm4 rep 3,1",25288739,lsm4 mutant,Col-0,whole plant,17966543,0.91,11/4/2014,,other,other,other
GSM1477538,PRJNA258161,"lsm4 rep 3,2",25288739,lsm4 mutant,Col-0,whole plant,17966543,0.91,11/4/2014,,other,other,other
GSM1477539,PRJNA258161,"WT C24 rep 1,1",25288739,wild type,C24,whole plant,9126447,0.86,11/4/2014,,other,other,other
GSM1477540,PRJNA258161,"WT C24 rep 1,2",25288739,wild type,C24,whole plant,9126447,0.86,11/4/2014,,other,other,other
GSM1477541,PRJNA258161,"WT C24 rep 2,1",25288739,wild type,C24,whole plant,19964575,0.87,11/4/2014,,other,other,other
GSM1477542,PRJNA258161,"WT C24 rep 2,2",25288739,wild type,C24,whole plant,19964575,0.87,11/4/2014,,other,other,other
GSM1477543,PRJNA258161,"WT C24 rep 3,1",25288739,wild type,C24,whole plant,14055066,0.86,11/4/2014,,other,other,other
GSM1477544,PRJNA258161,"WT C24 rep 3,2",25288739,wild type,C24,whole plant,14055066,0.86,11/4/2014,,other,other,other
GSM1477545,PRJNA258161,"lsm5/sad1 rep 1,1",25288739,lsm5/sad1 mutant,C24,whole plant,17087763,0.87,11/4/2014,,other,other,other
GSM1477546,PRJNA258161,"lsm5/sad1 rep 1,2",25288739,lsm5/sad1 mutant,C24,whole plant,17087763,0.87,11/4/2014,,other,other,other
GSM1477547,PRJNA258161,"lsm5/sad1 rep 2,1",25288739,lsm5/sad1 mutant,C24,whole plant,19046842,0.86,11/4/2014,,other,other,other
GSM1477548,PRJNA258161,"lsm5/sad1 rep 2,2",25288739,lsm5/sad1 mutant,C24,whole plant,19046842,0.86,11/4/2014,,other,other,other
GSM1477549,PRJNA258161,"lsm5/sad1 rep 3,1",25288739,lsm5/sad1 mutant,C24,whole plant,17742915,0.84,11/4/2014,,other,other,other
GSM1477550,PRJNA258161,"lsm5/sad1 rep 3,2",25288739,lsm5/sad1 mutant,C24,whole plant,17742915,0.84,11/4/2014,,other,other,other
GSM1489633,PRJNA259643,Col_D-2,25248553,wild type,Col-0,seedlings,34684577,0.83,3/19/2015,,other,other,other
GSM1489634,PRJNA259643,Col_D-3,25248553,wild type,Col-0,seedlings,41726035,0.84,3/19/2015,,other,other,other
GSM1489635,PRJNA259643,Col_DL6h-1,25248553,wild type,Col-0,seedlings,24843825,0.88,3/19/2015,,other,other,other
GSM1489636,PRJNA259643,Col_DL6h-2,25248553,wild type,Col-0,seedlings,30033481,0.87,3/19/2015,,other,other,other
GSM1489637,PRJNA259643,Col_DL6h-3,25248553,wild type,Col-0,seedlings,32424062,0.87,3/19/2015,,other,other,other
GSM1489638,PRJNA259643,det1-1_D-1,25248553,det1-1,det1-1,seedlings,72624899,0.77,3/19/2015,,other,other,other
GSM1489640,PRJNA259643,det1-1_D-3,25248553,det1-1,det1-1,seedlings,123089432,0.75,3/19/2015,,other,other,other
GSM1489641,PRJNA259643,pifq_D-1,25248553,pifq,pifq,seedlings,40231752,0.86,3/19/2015,,other,other,other
GSM1489642,PRJNA259643,pifq_D-2,25248553,pifq,pifq,seedlings,26299147,0.83,3/19/2015,,other,other,other
GSM1489643,PRJNA259643,pifq_D-3,25248553,pifq,pifq,seedlings,30473718,0.85,3/19/2015,,other,other,other
GSM1491393,PRJNA259680,Contr-1,26408339,/,Col-0,shoot,28328558,0.87,12/6/2016,752,Shoot,Vegetative,Above
GSM1491394,PRJNA259680,Contr-2,26408339,/,Col-0,shoot,21999503,0.87,12/6/2016,752,Shoot,Vegetative,Above
GSM1491395,PRJNA259680,Contr-3,26408339,/,Col-0,shoot,24349250,0.87,12/6/2016,752,Shoot,Vegetative,Above
GSM1491396,PRJNA259680,HL20-1,26408339,/,Col-0,shoot,26556144,0.87,12/6/2016,752,Shoot,Vegetative,Above
GSM1491397,PRJNA259680,HL20-2,26408339,/,Col-0,shoot,20052592,0.86,12/6/2016,752,Shoot,Vegetative,Above
GSM1491398,PRJNA259680,HL20-3,26408339,/,Col-0,shoot,13705702,0.82,12/6/2016,752,Shoot,Vegetative,Above
GSM1491399,PRJNA259680,HL60-1,26408339,/,Col-0,shoot,19940490,0.87,12/6/2016,752,Shoot,Vegetative,Above
