Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue,TotalReads,UniqueMappedRate,ReleaseDate
GSM3490627,PRJNA507243,"B2, Bent stage RNA-Seq",30762127,/,Col-0,embryo,28498032,42.70%,2019/2/15
GSM3490628,PRJNA507243,"M1, Mature_stage RNA-Seq",30762127,/,Col-0,embryo,30360962,45.00%,2019/2/15
GSM3490629,PRJNA507243,"M2, Mature_stage RNA-Seq",30762127,/,Col-0,embryo,31232237,70.30%,2019/2/15
GSM3490689,PRJNA507252,WT_rep1,30718350,wild type,Col-0,root,189337914,84.30%,2019/2/6
GSM3490690,PRJNA507252,WT_rep2,30718350,wild type,Col-0,root,105491683,82.50%,2019/2/6
GSM3490691,PRJNA507252,WT_rep3,30718350,wild type,Col-0,root,109683199,83.00%,2019/2/6
GSM3490692,PRJNA507252,rhd6-1,30718350,rhd6 mutant,Col-0 x Ws,root,185863284,78.10%,2019/2/6
GSM3490693,PRJNA507252,gl2,30718350,gl2 mutant,Ler,root,142056701,75.00%,2019/2/6
GSM3502249,PRJNA508516,MSL1,/,wild type,/,leaves,24017853,92.00%,2018/12/13
GSM3502250,PRJNA508516,MSL2,/,wild type,/,leaves,24044024,92.00%,2018/12/13
GSM3502251,PRJNA508516,MSR1,/,wild type,/,root,24082930,92.70%,2018/12/13
GSM3502252,PRJNA508516,MSR2,/,wild type,/,root,24073394,92.60%,2018/12/13
GSM3502253,PRJNA508516,PSL1,/,wild type,/,leaves,24115953,91.80%,2018/12/13
GSM3502254,PRJNA508516,PSL2,/,wild type,/,leaves,24060455,92.20%,2018/12/13
GSM3502255,PRJNA508516,PSR1,/,wild type,/,root,24116852,92.20%,2018/12/13
GSM3502256,PRJNA508516,PSR2,/,wild type,/,root,24055003,92.10%,2018/12/13
GSM3502257,PRJNA508516,NH2PSL1,/,wild type,/,leaves,23892537,90.90%,2018/12/13
GSM3502258,PRJNA508516,NH2PSL2,/,wild type,/,leaves,23782450,90.70%,2018/12/13
GSM3502259,PRJNA508516,NH2PSR1,/,wild type,/,root,23873375,91.70%,2018/12/13
GSM3502260,PRJNA508516,NH2PSR2,/,wild type,/,root,23821134,91.30%,2018/12/13
GSM3504391,PRJNA508784,WT C1,30575749,wild type,Col-0,seedlings,24859877,89.80%,2018/12/13
GSM3504392,PRJNA508784,WT C2,30575749,wild type,Col-0,seedlings,25257677,94.50%,2018/12/13
GSM3504393,PRJNA508784,WT C3,30575749,wild type,Col-0,seedlings,22304084,94.40%,2018/12/13
GSM3504394,PRJNA508784,WT V1,30575749,wild type,Col-0,seedlings,25093213,94.60%,2018/12/13
GSM3504395,PRJNA508784,WT V2,30575749,wild type,Col-0,seedlings,25721135,94.80%,2018/12/13
GSM3504396,PRJNA508784,WT V3,30575749,wild type,Col-0,seedlings,26971279,94.60%,2018/12/13
GSM3508927,PRJNA509460,Replicate 1 for nac1L-KO,/,nca1L-KO,/,seed,49976316,92.00%,2018/12/17
GSM3508928,PRJNA509460,Replicate 2 for nac1L-KO,/,nca1L-KO,/,seed,61566362,92.70%,2018/12/17
GSM3508929,PRJNA509460,Replicate 3 for nac1L-KO,/,nca1L-KO,/,seed,72097155,91.70%,2018/12/17
GSM3508930,PRJNA509460,Replicate 1 for nac25-KO,/,nac25-KO,/,seed,52553524,91.50%,2018/12/17
GSM3508931,PRJNA509460,Replicate 2 for nac25-KO,/,nac25-KO,/,seed,60070704,91.50%,2018/12/17
GSM3508932,PRJNA509460,Replicate 3 for nac25-KO,/,nac25-KO,/,seed,64914814,92.50%,2018/12/17
GSM3508933,PRJNA509460,Replicate 1 for wild type (Col-0),/,wild type,Col-0,seed,50342468,89.90%,2018/12/17
GSM3508934,PRJNA509460,Replicate 2 for wild type (Col-0),/,wild type,Col-0,seed,45634366,92.20%,2018/12/17
GSM3508935,PRJNA509460,Replicate 3 for wild type (Col-0),/,wild type,Col-0,seed,48905426,92.40%,2018/12/17
GSM1366698,PRJNA244365,Sample1_ColA9xC24_Rep1,25719202,/,ColA9 X C24,seed,8831918,82.00%,2015/7/22
GSM1366699,PRJNA244365,Sample2_ColA9xC24_Rep2,25719202,/,ColA9 X C24,seed,2934538,82.60%,2015/7/22
GSM1366700,PRJNA244365,Sample3_C24A9XCol-0_Rep1,25719202,/,C24A9 X Col-0,seed,6928291,81.50%,2015/7/22
GSM1366701,PRJNA244365,Sample4_C24A9XCol-0_Rep2,25719202,/,C24A9 X Col-0,seed,6374819,73.60%,2015/7/22
GSM1366702,PRJNA244365,Sample5_ColA9xAa_Rep1,25719202,/,ColA9 X A. arenosa eco. Strecno,seed,894498,0.60%,2015/3/5
GSM1366703,PRJNA244365,Sample6_ColA9xAa_Rep2,25719202,/,ColA9 X A. arenosa eco. Strecno,seed,1045426,0.30%,2015/3/5
GSM1366704,PRJNA244365,Sample7_ColA9xC24_Rep1,25719202,/,ColA9 X C24,seed,4735,41.80%,2015/3/5
GSM1366705,PRJNA244365,Sample8_ColA9xC24_Rep2,25719202,/,ColA9 X C24,seed,82812,65.80%,2015/3/5
GSM1366706,PRJNA244365,Sample9_ColA9xC24_Rep3,25719202,/,ColA9 X C24,seed,94711,66.70%,2015/3/5
GSM1369669,PRJNA244662,Col-0_1,27015278,wild type,Col-0,leaves,12175998,94.60%,2016/3/8
GSM1369670,PRJNA244662,Col-0_2,27015278,wild type,Col-0,leaves,14998965,94.20%,2016/3/8
GSM1369671,PRJNA244662,co-sail_1,27015278,co-SAIL,Col-0,leaves,13767089,93.70%,2016/3/8
GSM1369672,PRJNA244662,co-sail_2,27015278,co-SAIL,Col-0,leaves,12200797,94.40%,2016/3/8
GSM1369673,PRJNA244662,miP1a_1,27015278,35S,Col-0,leaves,12088309,93.50%,2016/3/8
GSM1369674,PRJNA244662,miP1a_2,27015278,35S,Col-0,leaves,15470047,93.00%,2016/3/8
GSM1369675,PRJNA244662,miP1b_1,27015278,35S,Col-0,leaves,14907827,93.90%,2016/3/8
GSM1369676,PRJNA244662,miP1b_2,27015278,35S,Col-0,leaves,14830744,93.90%,2016/3/8
GSM3529884,PRJNA511671,ATWWAL,30715761,/,Col-0,leaves,20023618,94.00%,2018/12/27
GSM3529885,PRJNA511671,ATWWBL,30715761,/,Col-0,leaves,20428797,94.00%,2018/12/27
GSM3529886,PRJNA511671,ATDT2AL,30715761,/,Col-0,leaves,20993235,93.70%,2018/12/27
GSM3529887,PRJNA511671,ATDT2BL,30715761,/,Col-0,leaves,20701691,94.20%,2018/12/27
GSM3529888,PRJNA511671,ATDT3AL,30715761,/,Col-0,leaves,20731637,93.40%,2018/12/27
GSM3529889,PRJNA511671,ATDT3BL,30715761,/,Col-0,leaves,20802257,94.30%,2018/12/27
GSM3529890,PRJNA511671,ATDT4AL,30715761,/,Col-0,leaves,20739772,93.10%,2018/12/27
GSM3529891,PRJNA511671,ATDT4BL,30715761,/,Col-0,leaves,20668370,92.60%,2018/12/27
GSM3529892,PRJNA511671,ATDT5AL,30715761,/,Col-0,leaves,20634062,93.20%,2018/12/27
GSM3529893,PRJNA511671,ATDT5BL,30715761,/,Col-0,leaves,20399955,92.00%,2018/12/27
GSM3529894,PRJNA511671,ATWWAC,30715761,/,Col-0,leaves,69995177,91.00%,2018/12/27
GSM3529895,PRJNA511671,ATWWBC,30715761,/,Col-0,leaves,65145553,89.80%,2018/12/27
GSM3529896,PRJNA511671,ATDT2AC,30715761,/,Col-0,leaves,72677075,90.60%,2018/12/27
GSM3529897,PRJNA511671,ATDT2BC,30715761,/,Col-0,leaves,67656513,89.10%,2018/12/27
GSM3529898,PRJNA511671,ATDT3AC,30715761,/,Col-0,leaves,74027706,88.20%,2018/12/27
GSM3529899,PRJNA511671,ATDT3BC,30715761,/,Col-0,leaves,66965401,87.40%,2018/12/27
GSM3529900,PRJNA511671,ATDT4AC,30715761,/,Col-0,leaves,84845858,89.40%,2018/12/27
GSM3529901,PRJNA511671,ATDT4BC,30715761,/,Col-0,leaves,75391948,90.80%,2018/12/27
GSM3529902,PRJNA511671,ATDT5AC,30715761,/,Col-0,leaves,61219869,91.60%,2018/12/27
GSM3529903,PRJNA511671,ATDT5BC,30715761,/,Col-0,leaves,73043264,91.00%,2018/12/27
GSM3532783,PRJNA511984,WT_long_day (RNA-seq),30828924,wild type,/,seedlings,27520903,87.10%,2019/1/1
GSM3532784,PRJNA511984,hda6_long_day (RNA-seq),30828924,hda6-/-,/,seedlings,22282234,88.30%,2019/1/1
GSM3532785,PRJNA511984,hdc1_long_day (RNA-seq),30828924,hdc1-/-,/,seedlings,28374257,87.40%,2019/1/1
GSM3532786,PRJNA511984,hda19_long_day (RNA-seq),30828924,hda19-/-,/,seedlings,23872874,89.00%,2019/1/1
GSM3535230,PRJNA512181,WT rep1 (RNA-seq),30589221,wild type,/,seedlings,21785620,88.10%,2019/1/1
GSM3535231,PRJNA512181,WT rep2 (RNA-seq),30589221,wild type,/,seedlings,22678585,87.50%,2019/1/1
GSM3535232,PRJNA512181,suvh1/3 rep1 (RNA-seq),30589221,suvh1-/-suvh3-/-,/,seedlings,20675395,89.00%,2019/1/1
GSM3535233,PRJNA512181,suvh1/3 rep2 (RNA-seq),30589221,suvh1-/-suvh3-/-,/,seedlings,22650712,88.40%,2019/1/1
GSM3535234,PRJNA512181,sdj1/2/3 rep1 (RNA-seq),30589221,sdj1-/-sdj2-/-sdj3-/-,/,seedlings,21781844,88.00%,2019/1/1
GSM3535235,PRJNA512181,sdj1/2/3 rep2 (RNA-seq),30589221,sdj1-/-sdj2-/-sdj3-/-,/,seedlings,22515528,87.40%,2019/1/1
GSM3535236,PRJNA512181,suvh1/3;sdj1/3 rep1 (RNA-seq),30589221,suvh1-/-suvh3-/-sdj1-/-sdj3-/-,/,seedlings,21628915,88.70%,2019/1/1
GSM3535237,PRJNA512181,suvh1/3;sdj1/3 rep2 (RNA-seq),30589221,suvh1-/-suvh3-/-sdj1-/-sdj3-/-,/,seedlings,24399021,88.00%,2019/1/1
GSM3535305,PRJNA512228,WT_short_day (RNA-seq)-rep1,30828924,wild type,/,seedlings,33731348,91.50%,2019/1/2
GSM3535306,PRJNA512228,WT_short_day (RNA-seq)-rep2,30828924,wild type,/,seedlings,25288842,91.00%,2019/1/2
GSM3535307,PRJNA512228,hda6_short_day (RNA-seq)-rep1,30828924,hda6-/-,/,seedlings,19694004,91.10%,2019/1/2
GSM3535308,PRJNA512228,hda6_short_day (RNA-seq)-rep2,30828924,hda6-/-,/,seedlings,26401876,90.70%,2019/1/2
GSM3535309,PRJNA512228,hdc1_short_day (RNA-seq)-rep1,30828924,hdc1-/-,/,seedlings,25040367,91.40%,2019/1/2
GSM3535310,PRJNA512228,hdc1_short_day (RNA-seq)-rep2,30828924,hdc1-/-,/,seedlings,26880354,91.60%,2019/1/2
GSM3535311,PRJNA512228,hda19_short_day (RNA-seq)-rep1,30828924,hda19-/-,/,seedlings,26916667,90.90%,2019/1/2
GSM3535312,PRJNA512228,hda19_short_day (RNA-seq)-rep2,30828924,hda19-/-,/,seedlings,28518792,92.00%,2019/1/2
GSM3553052,PRJNA513324,RNAseq_Col-0_rep1_FigureS2,30739798,Col-0,Col-0,seedlings,25088279,94.20%,2019/2/13
GSM3553053,PRJNA513324,RNAseq_Col-0_rep2_FigureS2,30739798,Col-0,Col-0,seedlings,31224758,94.20%,2019/2/13
GSM3553054,PRJNA513324,RNAseq_Col-0_rep3_FigureS2,30739798,Col-0,Col-0,seedlings,32876986,94.10%,2019/2/13
GSM3553055,PRJNA513324,RNAseq_fwa_rep1_FigureS2,30739798,fwa,Col-0,seedlings,36070795,94.00%,2019/2/13
GSM3553056,PRJNA513324,RNAseq_fwa_rep2_FigureS2,30739798,fwa,Col-0,seedlings,31370807,93.90%,2019/2/13
GSM3553057,PRJNA513324,RNAseq_fwa_rep3_FigureS2,30739798,fwa,Col-0,seedlings,32511590,93.70%,2019/2/13
GSM3553058,PRJNA513324,RNAseq_DMS3-ZF_fwa_line1_FigureS2,30739798,DMS3-ZF_in_fwa,Col-0,seedlings,39809521,92.10%,2019/2/13
GSM3553059,PRJNA513324,RNAseq_DMS3-ZF_fwa_line2_FigureS2,30739798,DMS3-ZF_in_fwa,Col-0,seedlings,35123973,93.80%,2019/2/13
GSM3553060,PRJNA513324,RNAseq_DMS3-ZF_fwa_line3_FigureS2,30739798,DMS3-ZF_in_fwa,Col-0,seedlings,36125728,94.00%,2019/2/13
GSM3553061,PRJNA513324,RNAseq_DMS3-ZF_fwa_drm1/2_line1_FigureS2,30739798,DMS3-ZF_in_fwa_x_drm1/2,Col-0,seedlings,32253953,92.90%,2019/2/13
GSM3553062,PRJNA513324,RNAseq_DMS3-ZF_fwa_drm1/2_line2_FigureS2,30739798,DMS3-ZF_in_fwa_x_drm1/2,Col-0,seedlings,34898680,93.70%,2019/2/13
GSM3553063,PRJNA513324,RNAseq_DMS3-ZF_fwa_drm1/2_line3_FigureS2,30739798,DMS3-ZF_in_fwa_x_drm1/2,Col-0,seedlings,29747057,93.30%,2019/2/13
GSM3553064,PRJNA513324,RNAseq_T3_DMS3-ZF_line1_rep1_Figure5,30739798,DMS3-ZF_in_Col-0,Col-0,leaves,34565202,89.30%,2019/2/13
GSM3553065,PRJNA513324,RNAseq_T3_DMS3-ZF_line1_rep2_Figure5,30739798,DMS3-ZF_in_Col-0,Col-0,leaves,40808906,88.50%,2019/2/13
GSM3553066,PRJNA513324,RNAseq_T3_DMS3-ZF_line1_rep3_Figure5,30739798,DMS3-ZF_in_Col-0,Col-0,leaves,28296364,88.20%,2019/2/13
GSM3553067,PRJNA513324,RNAseq_T3_DMS3-ZF_line2_rep1_Figure5,30739798,DMS3-ZF_in_Col-0,Col-0,leaves,25438730,87.90%,2019/2/13
GSM3553068,PRJNA513324,RNAseq_T3_DMS3-ZF_line2_rep2_Figure5,30739798,DMS3-ZF_in_Col-0,Col-0,leaves,23853146,87.20%,2019/2/13
GSM3553069,PRJNA513324,RNAseq_T3_DMS3-ZF_line2_rep3_Figure5,30739798,DMS3-ZF_in_Col-0,Col-0,leaves,22466134,85.30%,2019/2/13
GSM3553070,PRJNA513324,RNAseq_T3_ZF_line1_rep1_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,22833218,87.30%,2019/2/13
GSM3553071,PRJNA513324,RNAseq_T3_ZF_line1_rep2_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,24697528,87.10%,2019/2/13
GSM3553072,PRJNA513324,RNAseq_T3_ZF_line1_rep3_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,21228968,85.90%,2019/2/13
GSM3553073,PRJNA513324,RNAseq_T3_ZF_line2_rep1_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,20170204,84.90%,2019/2/13
GSM3553074,PRJNA513324,RNAseq_T3_ZF_line2_rep2_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,13562194,85.00%,2019/2/13
GSM3553075,PRJNA513324,RNAseq_T3_ZF_line2_rep3_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,20520312,86.10%,2019/2/13
GSM3553076,PRJNA513324,RNAseq_T3_ZF_line3_rep1_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,22085762,85.70%,2019/2/13
GSM3553077,PRJNA513324,RNAseq_T3_ZF_line3_rep2_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,24577034,85.50%,2019/2/13
GSM3553078,PRJNA513324,RNAseq_T3_ZF_line3_rep3_Figure5,30739798,ZF_in_Col-0,Col-0,leaves,23271424,83.50%,2019/2/13
GSM3553079,PRJNA513324,RNAseq_DMS3-ZF_x_NRPD1-ZF_T1-3_Figure7,30739798,DMS3-ZF_x_NRPD1_ZF_in_Col-0,Col-0,leaves,24215741,82.20%,2019/2/13
GSM3553080,PRJNA513324,RNAseq_DMS3-ZF_x_NRPD1-ZF_T1-2_Figure7,30739798,DMS3-ZF_x_NRPD1_ZF_in_Col-0,Col-0,leaves,23585348,84.00%,2019/2/13
GSM3553081,PRJNA513324,RNAseq_DMS3-ZF_x_NRPD1-ZF_T1-1_Figure7,30739798,DMS3-ZF_x_NRPD1_ZF_in_Col-0,Col-0,leaves,22854947,85.70%,2019/2/13
GSM3553082,PRJNA513324,RNAseq_DMS3-ZF_x_NRPD1-ZF_T1-4_Figure7,30739798,DMS3-ZF_x_NRPD1_ZF_in_Col-0,Col-0,leaves,23342435,92.10%,2019/2/13
GSM3553083,PRJNA513324,RNAseq_ZF_line1_rep1_Figure7,30739798,ZF_in_Col-0,Col-0,leaves,22476728,93.00%,2019/2/13
GSM3553084,PRJNA513324,RNAseq_ZF_line1_rep2_Figure7,30739798,ZF_in_Col-0,Col-0,leaves,22699777,87.90%,2019/2/13
GSM3553085,PRJNA513324,RNAseq_ZF_line1_rep3_Figure7,30739798,ZF_in_Col-0,Col-0,leaves,21310695,91.80%,2019/2/13
GSM3553086,PRJNA513324,RNAseq_ZF_line2_rep1_Figure7,30739798,ZF_in_Col-0,Col-0,leaves,20974617,92.70%,2019/2/13
GSM3553087,PRJNA513324,RNAseq_ZF_line2_rep2_Figure7,30739798,ZF_in_Col-0,Col-0,leaves,20269586,92.40%,2019/2/13
GSM3553088,PRJNA513324,RNAseq_ZF_line3_rep3_Figure7,30739798,ZF_in_Col-0,Col-0,leaves,22298777,91.70%,2019/2/13
GSM3553089,PRJNA513324,RNAseq_NRPD1-ZF_T1-2_Figure7,30739798,NRPD1_ZF_in_Col-0,Col-0,leaves,22159143,92.30%,2019/2/13
GSM3553090,PRJNA513324,RNAseq_NRPD1-ZF_T1-1_Figure7,30739798,NRPD1_ZF_in_Col-0,Col-0,leaves,21333696,92.90%,2019/2/13
GSM3553091,PRJNA513324,RNAseq_NRPD1-ZF_T1-3_Figure7,30739798,NRPD1_ZF_in_Col-0,Col-0,leaves,18226784,91.10%,2019/2/13
GSM1371351,PRJNA244971,mock Col0 10 days rep 1,25707794,wild type,Col-0,leaves,7206695,55.40%,2014/4/21
GSM1371352,PRJNA244971,mock Col0 10 days rep 2,25707794,wild type,Col-0,leaves,4940185,64.10%,2014/4/21
GSM1371353,PRJNA244971,infected Col0 10 days rep 1,25707794,wild type,Col-0,leaves,8486860,79.00%,2014/4/21
GSM1371354,PRJNA244971,infected Col0 10 days rep 2,25707794,wild type,Col-0,leaves,7761810,77.50%,2014/4/21
GSM1371355,PRJNA244971,mock NIK 10 days rep 1,25707794,NIK,Col-0,leaves,6989244,61.20%,2014/4/21
GSM1371356,PRJNA244971,mock NIK 10 days rep 2,25707794,NIK,Col-0,leaves,7318483,68.00%,2014/4/21
GSM1371357,PRJNA244971,infected NIK 10 days rep 1,25707794,NIK,Col-0,leaves,9219925,84.80%,2014/4/21
GSM1371358,PRJNA244971,infected NIK 10 days rep 2,25707794,NIK,Col-0,leaves,9168685,86.50%,2014/4/21
GSM1371359,PRJNA244971,mock T474D 10 days rep 1,25707794,T474D,Col-0,leaves,8775474,69.50%,2014/4/21
GSM1371360,PRJNA244971,mock T474D 10 days rep 2,25707794,T474D,Col-0,leaves,10176088,83.00%,2014/4/21
GSM1371361,PRJNA244971,infected T474D 10 days rep 1,25707794,T474D,Col-0,leaves,7155037,88.40%,2014/4/21
GSM1371362,PRJNA244971,infected T474D 10 days rep 2,25707794,T474D,Col-0,leaves,7600692,88.70%,2014/4/21
GSM1371363,PRJNA244971,mock Col0 20 days rep 1,25707794,wild type,Col-0,leaves,6809675,77.90%,2014/4/21
GSM1371364,PRJNA244971,mock Col0 20 days rep 2,25707794,wild type,Col-0,leaves,8714667,79.40%,2014/4/21
GSM1371365,PRJNA244971,infected Col0 20 days rep 1,25707794,wild type,Col-0,leaves,8175197,78.40%,2014/4/21
GSM1371366,PRJNA244971,infected Col0 20 days rep 2,25707794,wild type,Col-0,leaves,7500145,78.60%,2014/4/21
GSM1371367,PRJNA244971,mock T474D 20 days rep 1,25707794,T474D,Col-0,leaves,24994810,85.10%,2014/4/21
GSM1371368,PRJNA244971,mock T474D 20 days rep 2,25707794,T474D,Col-0,leaves,25283948,90.20%,2014/4/21
GSM1371369,PRJNA244971,infected T474D 20 days rep 1,25707794,T474D,Col-0,leaves,8979336,77.60%,2014/4/21
GSM1371370,PRJNA244971,infected T474D 20 days rep 2,25707794,T474D,Col-0,leaves,5358231,82.80%,2014/4/21
GSM3554339,PRJNA513852,Col_4_A,/,/,Col-0,seedlings,27339610,90.80%,2019/1/23
GSM3554340,PRJNA513852,Col_4_B,/,/,Col-0,seedlings,34528439,93.30%,2019/1/23
GSM3554341,PRJNA513852,Col_4_C,/,/,Col-0,seedlings,26800455,93.50%,2019/1/23
GSM3554342,PRJNA513852,Col_20_A,/,/,Col-0,seedlings,22389254,78.20%,2019/1/23
GSM3554343,PRJNA513852,Col_20_B,/,/,Col-0,seedlings,29239392,92.20%,2019/1/23
GSM3554344,PRJNA513852,Col_20_C,/,/,Col-0,seedlings,32156102,91.90%,2019/1/23
GSM3554345,PRJNA513852,Col_NaCl_A,/,/,Col-0,seedlings,30750931,92.30%,2019/1/23
GSM3554346,PRJNA513852,Col_NaCl_B,/,/,Col-0,seedlings,29730717,93.20%,2019/1/23
GSM3554347,PRJNA513852,Col_NaCl_C,/,/,Col-0,seedlings,28720158,92.50%,2019/1/23
GSM3554348,PRJNA513852,pfd4_4_A,/,pfd4,Col-0,seedlings,16323753,84.70%,2019/1/23
GSM3554349,PRJNA513852,pfd4_4_B,/,pfd4,Col-0,seedlings,22307176,91.40%,2019/1/23
GSM3554350,PRJNA513852,pfd4_4_C,/,pfd4,Col-0,seedlings,16897022,83.90%,2019/1/23
GSM3554351,PRJNA513852,pfd4_20_B,/,pfd4,Col-0,seedlings,31359618,89.70%,2019/1/23
GSM3554352,PRJNA513852,pfd4_20_C,/,pfd4,Col-0,seedlings,24396867,90.20%,2019/1/23
GSM3554353,PRJNA513852,pfd4_NaCl_A,/,pfd4,Col-0,seedlings,26087657,92.50%,2019/1/23
GSM3554354,PRJNA513852,pfd4_NaCl_C,/,pfd4,Col-0,seedlings,27931383,93.00%,2019/1/23
GSM3554355,PRJNA513852,pfd246_20_A,/,pfd246,Col-0,seedlings,24362770,90.00%,2019/1/23
GSM3554356,PRJNA513852,pfd246_20_B,/,pfd246,Col-0,seedlings,32565540,89.80%,2019/1/23
GSM3554357,PRJNA513852,pfd246_20_C,/,pfd246,Col-0,seedlings,21753453,89.00%,2019/1/23
GSM3554358,PRJNA513852,lsm8_4_A,/,lsm8,Col-0,seedlings,19389921,91.90%,2019/1/23
GSM3554359,PRJNA513852,lsm8_4_B,/,lsm8,Col-0,seedlings,26546806,93.70%,2019/1/23
GSM3554360,PRJNA513852,lsm8_4_C,/,lsm8,Col-0,seedlings,33049510,95.30%,2019/1/23
GSM3554361,PRJNA513852,lsm8_20_A,/,lsm8,Col-0,seedlings,21203491,88.00%,2019/1/23
GSM3554362,PRJNA513852,lsm8_20_B,/,lsm8,Col-0,seedlings,24765828,93.80%,2019/1/23
GSM3554363,PRJNA513852,lsm8_20_C,/,lsm8,Col-0,seedlings,21102168,89.80%,2019/1/23
GSM3554364,PRJNA513852,lsm8_NaCl_A,/,lsm8,Col-0,seedlings,25341237,90.80%,2019/1/23
GSM3554365,PRJNA513852,lsm8_NaCl_B,/,lsm8,Col-0,seedlings,27584241,92.50%,2019/1/23
GSM3554366,PRJNA513852,lsm8_NaCl_C,/,lsm8,Col-0,seedlings,24133599,89.90%,2019/1/23
SRX525648,PRJNA242702,P+_WT _R1,24868033,wild type,Col-0,root,44337070,60.20%,2014/7/8
SRX525649,PRJNA242702,P+_WT_R2,24868033,wild type,Col-0,root,45316522,82.60%,2014/7/8
SRX525650,PRJNA242702,P-_hps7_R1,24868033,hps7,Col-0,root,43951436,17.60%,2014/7/8
SRX525651,PRJNA242702,P-_hps7_R2,24868033,hps7,Col-0,root,40281645,80.60%,2014/7/8
SRX525652,PRJNA242702,P+_hps7_R1,24868033,hps7,Col-0,root,55817073,77.10%,2014/7/8
SRX525653,PRJNA242702,P+_hps7_R2,24868033,hps7,Col-0,root,36085049,82.40%,2014/7/8
GSM3566798,PRJNA515610,RNAseq_Col0_rep1_forT2_SunTag_VP64_g4,30760722,wild type,Col-0,leaves,10943353,91.90%,2019/1/28
GSM3566799,PRJNA515610,RNAseq_Col0_rep2_forT2_SunTag_VP64_g4,30760722,wild type,Col-0,leaves,17883983,90.60%,2019/1/28
GSM3566800,PRJNA515610,RNAseq_Col0_rep3_forT2_SunTag_VP64_g4,30760722,wild type,Col-0,leaves,16754431,88.50%,2019/1/28
GSM3566801,PRJNA515610,RNAseq_T2_SunTag_VP64_nog_2_for_g4_rep1,30760722,SunTag_VP64_nog,Col-0,leaves,15653280,90.80%,2019/1/28
GSM3566802,PRJNA515610,RNAseq_T2_SunTag_VP64_nog_2_for_g4_rep2,30760722,SunTag_VP64_nog,Col-0,leaves,15548028,89.20%,2019/1/28
GSM3566803,PRJNA515610,RNAseq_T2_SunTag_VP64_nog_2_for_g4_rep3,30760722,SunTag_VP64_nog,Col-0,leaves,16210275,90.60%,2019/1/28
GSM3566804,PRJNA515610,RNAseq_T2_SunTag_VP64_nog_2_for_g4_rep4,30760722,SunTag_VP64_nog,Col-0,leaves,15959185,91.10%,2019/1/28
GSM3566805,PRJNA515610,RNAseq_fwa_rep1_forT2_SunTag_VP64_g4,30760722,fwa,Col-0,leaves,13163426,91.00%,2019/1/28
GSM3566806,PRJNA515610,RNAseq_fwa_rep2_forT2_SunTag_VP64_g4,30760722,fwa,Col-0,leaves,11935542,91.00%,2019/1/28
GSM3566807,PRJNA515610,RNAseq_fwa_rep3_forT2_SunTag_VP64_g4,30760722,fwa,Col-0,leaves,18069562,91.70%,2019/1/28
GSM3566808,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_1_rep1,30760722,SunTag_VP64_g4,Col-0,leaves,15651433,92.20%,2019/1/28
GSM3566809,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_1_rep2,30760722,SunTag_VP64_g4,Col-0,leaves,17773748,91.30%,2019/1/28
GSM3566810,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_1_rep3,30760722,SunTag_VP64_g4,Col-0,leaves,34505722,90.10%,2019/1/28
GSM3566811,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_1_rep4,30760722,SunTag_VP64_g4,Col-0,leaves,60871712,90.70%,2019/1/28
GSM3566812,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_2_rep1,30760722,SunTag_VP64_g4,Col-0,leaves,17228831,87.50%,2019/1/28
GSM3566813,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_2_rep2,30760722,SunTag_VP64_g4,Col-0,leaves,15828967,91.40%,2019/1/28
GSM3566814,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_2_rep3,30760722,SunTag_VP64_g4,Col-0,leaves,15251207,90.10%,2019/1/28
GSM3566815,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_3_rep1,30760722,SunTag_VP64_g4,Col-0,leaves,15345501,90.20%,2019/1/28
GSM3566816,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_3_rep2,30760722,SunTag_VP64_g4,Col-0,leaves,17846175,91.30%,2019/1/28
GSM3566817,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_3_rep3,30760722,SunTag_VP64_g4,Col-0,leaves,18638565,90.60%,2019/1/28
GSM3566818,PRJNA515610,RNAseq_T2_SunTag_VP64_g4_3_rep4,30760722,SunTag_VP64_g4,Col-0,leaves,18399781,90.10%,2019/1/28
GSM3566819,PRJNA515610,RNAseq_Col0_rep1_forT2_22aa_SunTag_VP64_g4_g17,30760722,wild type,Col-0,leaves,13660860,92.20%,2019/1/28
